;road_0_1_0 r r,road_1_0_1 g r,road_1_2_3 g r,road_2_1_2 r r,
-4.5 108.90499999999997 -1.5707963267948966 flow_0_0 0 5.0 2.0,275.0 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
-4.5 97.79499999999996 -1.5707963267948966 flow_0_0 0 5.0 2.0,264.445 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
299.0 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 86.68499999999995 -1.5707963267948966 flow_0_0 0 5.0 2.0,253.335 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
296.0 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 75.57499999999993 -1.5707963267948966 flow_0_0 0 5.0 2.0,242.225 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
291.0 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 64.46499999999992 -1.5707963267948966 flow_0_0 0 5.0 2.0,231.115 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 g g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
284.0 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 53.354999999999908 -1.5707963267948966 flow_0_0 0 5.0 2.0,299.0 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,220.005 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 g g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
275.0 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 42.24499999999989 -1.5707963267948966 flow_0_0 0 5.0 2.0,296.0 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,208.89499999999999 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 g g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
264.445 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 31.134999999999878 -1.5707963267948966 flow_0_0 0 5.0 2.0,291.0 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,197.78500000000003 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,-299.0 -4.5 0.0 flow_4_0 0 5.0 2.0,;road_0_1_0 g g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
253.335 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 21.87666666666655 -1.5707963267948966 flow_0_0 0 5.0 2.0,284.0 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,186.675 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,-296.0 -4.5 0.0 flow_4_0 0 5.0 2.0,;road_0_1_0 g g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
242.225 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 15.704444444444335 -1.5707963267948966 flow_0_0 0 5.0 2.0,275.0 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,175.565 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,299.0 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,-291.0 -4.5 0.0 flow_4_0 0 5.0 2.0,;road_0_1_0 g g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
231.115 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 12.001111111111016 -1.5707963267948966 flow_0_0 0 5.0 2.0,264.445 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,164.455 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,296.0 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,-299.0 -4.5 0.0 flow_6_0 0 5.0 2.0,-284.0 -4.5 0.0 flow_4_0 0 5.0 2.0,;road_0_1_0 g g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
220.005 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,253.335 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,153.34500000000004 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,291.0 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,-296.0 -4.5 0.0 flow_6_0 0 5.0 2.0,-275.0 -4.5 0.0 flow_4_0 0 5.0 2.0,;road_0_1_0 g g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
208.89499999999999 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,242.225 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,142.235 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,284.0 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,-291.0 -4.5 0.0 flow_6_0 0 5.0 2.0,-264.445 -4.5 0.0 flow_4_0 0 5.0 2.0,;road_0_1_0 g g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
197.78500000000003 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,231.115 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,131.125 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,275.0 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,-284.0 -4.5 0.0 flow_6_0 0 5.0 2.0,-253.335 -4.5 0.0 flow_4_0 0 5.0 2.0,;road_0_1_0 g g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
186.675 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,220.005 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,299.0 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,120.01499999999999 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,264.445 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,-275.0 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -299.0 1.5707963267948966 flow_9_0 0 5.0 2.0,-242.225 -4.5 0.0 flow_4_0 0 5.0 2.0,-299.0 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 g g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
175.565 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,208.89499999999999 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,296.0 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,108.90499999999997 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,253.335 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,-264.445 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -296.0 1.5707963267948966 flow_9_0 0 5.0 2.0,-231.115 -4.5 0.0 flow_4_0 0 5.0 2.0,-296.0 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
164.455 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,197.78500000000003 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,291.0 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,97.79499999999996 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,242.225 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,-253.335 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -291.0 1.5707963267948966 flow_9_0 0 5.0 2.0,-220.005 -4.5 0.0 flow_4_0 0 5.0 2.0,-291.0 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
153.34500000000004 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,186.675 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,284.0 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,86.68499999999995 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,231.115 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,-242.225 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -284.0 1.5707963267948966 flow_9_0 0 5.0 2.0,-208.89499999999999 -4.5 0.0 flow_4_0 0 5.0 2.0,-284.0 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
142.235 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,175.565 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,275.0 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,75.57499999999993 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,220.005 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -299.0 1.5707963267948966 flow_10_0 0 5.0 2.0,-231.115 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -275.0 1.5707963267948966 flow_9_0 0 5.0 2.0,-197.78500000000003 -4.5 0.0 flow_4_0 0 5.0 2.0,-275.0 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
131.125 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,164.455 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,264.445 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,64.46499999999992 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,208.89499999999999 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -296.0 1.5707963267948966 flow_10_0 0 5.0 2.0,-220.005 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -264.445 1.5707963267948966 flow_9_0 0 5.0 2.0,-186.675 -4.5 0.0 flow_4_0 0 5.0 2.0,-264.445 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
120.01499999999999 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,153.34500000000004 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,253.335 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,53.354999999999908 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,197.78500000000003 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -291.0 1.5707963267948966 flow_10_0 0 5.0 2.0,-208.89499999999999 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -253.335 1.5707963267948966 flow_9_0 0 5.0 2.0,-175.565 -4.5 0.0 flow_4_0 0 5.0 2.0,-253.335 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
108.90499999999997 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,142.235 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,242.225 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,42.24499999999989 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,186.675 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -284.0 1.5707963267948966 flow_10_0 0 5.0 2.0,-197.78500000000003 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -242.225 1.5707963267948966 flow_9_0 0 5.0 2.0,-164.455 -4.5 0.0 flow_4_0 0 5.0 2.0,-242.225 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
97.79499999999996 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,131.125 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,231.115 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,31.134999999999878 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,-299.0 -1.5 0.0 flow_12_0 0 5.0 2.0,175.565 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -275.0 1.5707963267948966 flow_10_0 0 5.0 2.0,-299.0 -4.5 0.0 flow_11_0 0 5.0 2.0,-186.675 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -231.115 1.5707963267948966 flow_9_0 0 5.0 2.0,-153.34500000000004 -4.5 0.0 flow_4_0 0 5.0 2.0,-231.115 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
86.68499999999995 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,120.01499999999999 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,220.005 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,20.024999999999865 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,4.5 -299.0 1.5707963267948966 flow_13_0 0 5.0 2.0,-296.0 -1.5 0.0 flow_12_0 0 5.0 2.0,164.455 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -264.445 1.5707963267948966 flow_10_0 0 5.0 2.0,-296.0 -4.5 0.0 flow_11_0 0 5.0 2.0,-175.565 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -220.005 1.5707963267948966 flow_9_0 0 5.0 2.0,-142.235 -4.5 0.0 flow_4_0 0 5.0 2.0,-220.005 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
75.57499999999993 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,108.90499999999997 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,208.89499999999999 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,8.91499999999985 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,4.5 -296.0 1.5707963267948966 flow_13_0 0 5.0 2.0,-291.0 -1.5 0.0 flow_12_0 0 5.0 2.0,153.34500000000004 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -253.335 1.5707963267948966 flow_10_0 0 5.0 2.0,-291.0 -4.5 0.0 flow_11_0 0 5.0 2.0,-164.455 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -208.89499999999999 1.5707963267948966 flow_9_0 0 5.0 2.0,-131.125 -4.5 0.0 flow_4_0 0 5.0 2.0,-208.89499999999999 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
64.46499999999992 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,97.79499999999996 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,-299.0 -4.5 0.0 flow_14_0 0 5.0 2.0,197.78500000000003 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,-2.19500000000015 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,4.5 -291.0 1.5707963267948966 flow_13_0 0 5.0 2.0,-284.0 -1.5 0.0 flow_12_0 0 5.0 2.0,142.235 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -242.225 1.5707963267948966 flow_10_0 0 5.0 2.0,-284.0 -4.5 0.0 flow_11_0 0 5.0 2.0,-153.34500000000004 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -197.78500000000003 1.5707963267948966 flow_9_0 0 5.0 2.0,-120.01499999999999 -4.5 0.0 flow_4_0 0 5.0 2.0,-197.78500000000003 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
53.354999999999908 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,86.68499999999995 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,-296.0 -4.5 0.0 flow_14_0 0 5.0 2.0,186.675 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,-13.305000000000149 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,4.5 -284.0 1.5707963267948966 flow_13_0 0 5.0 2.0,-275.0 -1.5 0.0 flow_12_0 0 5.0 2.0,131.125 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -231.115 1.5707963267948966 flow_10_0 0 5.0 2.0,-275.0 -4.5 0.0 flow_11_0 0 5.0 2.0,-142.235 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -186.675 1.5707963267948966 flow_9_0 0 5.0 2.0,-108.90499999999997 -4.5 0.0 flow_4_0 0 5.0 2.0,-186.675 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
42.24499999999989 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,75.57499999999993 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,-291.0 -4.5 0.0 flow_14_0 0 5.0 2.0,175.565 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,-24.41500000000015 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,4.5 -275.0 1.5707963267948966 flow_13_0 0 5.0 2.0,-264.445 -1.5 0.0 flow_12_0 0 5.0 2.0,120.01499999999999 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -220.005 1.5707963267948966 flow_10_0 0 5.0 2.0,-264.445 -4.5 0.0 flow_11_0 0 5.0 2.0,-131.125 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -175.565 1.5707963267948966 flow_9_0 0 5.0 2.0,-97.79499999999996 -4.5 0.0 flow_4_0 0 5.0 2.0,-175.565 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
4.5 -299.0 1.5707963267948966 flow_15_0 0 5.0 2.0,31.134999999999878 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,64.46499999999992 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,-284.0 -4.5 0.0 flow_14_0 0 5.0 2.0,164.455 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,-35.52500000000015 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,4.5 -264.445 1.5707963267948966 flow_13_0 0 5.0 2.0,-253.335 -1.5 0.0 flow_12_0 0 5.0 2.0,108.90499999999997 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -208.89499999999999 1.5707963267948966 flow_10_0 0 5.0 2.0,-253.335 -4.5 0.0 flow_11_0 0 5.0 2.0,-120.01499999999999 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -164.455 1.5707963267948966 flow_9_0 0 5.0 2.0,-86.68499999999995 -4.5 0.0 flow_4_0 0 5.0 2.0,-164.455 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
4.5 -296.0 1.5707963267948966 flow_15_0 0 5.0 2.0,20.024999999999865 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,53.354999999999908 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,-275.0 -4.5 0.0 flow_14_0 0 5.0 2.0,153.34500000000004 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,-46.63500000000014 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,4.5 -253.335 1.5707963267948966 flow_13_0 0 5.0 2.0,-242.225 -1.5 0.0 flow_12_0 0 5.0 2.0,97.79499999999996 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -197.78500000000003 1.5707963267948966 flow_10_0 0 5.0 2.0,-242.225 -4.5 0.0 flow_11_0 0 5.0 2.0,-108.90499999999997 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -153.34500000000004 1.5707963267948966 flow_9_0 0 5.0 2.0,-75.57499999999993 -4.5 0.0 flow_4_0 0 5.0 2.0,-153.34500000000004 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
4.5 -291.0 1.5707963267948966 flow_15_0 0 5.0 2.0,8.91499999999985 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,42.24499999999989 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,-264.445 -4.5 0.0 flow_14_0 0 5.0 2.0,142.235 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,-57.74500000000015 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,4.5 -242.225 1.5707963267948966 flow_13_0 0 5.0 2.0,-231.115 -1.5 0.0 flow_12_0 0 5.0 2.0,86.68499999999995 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -186.675 1.5707963267948966 flow_10_0 0 5.0 2.0,-231.115 -4.5 0.0 flow_11_0 0 5.0 2.0,-97.79499999999996 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -142.235 1.5707963267948966 flow_9_0 0 5.0 2.0,-64.46499999999992 -4.5 0.0 flow_4_0 0 5.0 2.0,-142.235 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
4.5 -284.0 1.5707963267948966 flow_15_0 0 5.0 2.0,-2.19500000000015 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,31.134999999999878 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,-253.335 -4.5 0.0 flow_14_0 0 5.0 2.0,131.125 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,-68.85500000000016 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,4.5 -231.115 1.5707963267948966 flow_13_0 0 5.0 2.0,-220.005 -1.5 0.0 flow_12_0 0 5.0 2.0,75.57499999999993 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -175.565 1.5707963267948966 flow_10_0 0 5.0 2.0,4.5 -299.0 1.5707963267948966 flow_16_0 0 5.0 2.0,-220.005 -4.5 0.0 flow_11_0 0 5.0 2.0,-86.68499999999995 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 -131.125 1.5707963267948966 flow_9_0 0 5.0 2.0,-53.354999999999908 -4.5 0.0 flow_4_0 0 5.0 2.0,-131.125 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
